🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.2% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[  184] BB  | 8d 8c (88  ) | Eq: 65.2% | PO:27.1% | ▶ RAISE | P/L: -3.0BB | VPIP: 22.8%
[  185] CO  | Ad 5s (A5o ) | Eq: 54.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.7%
[  186] BB  | Jd 7d (J7s ) | Eq: 49.2% | PO:30.5% | ▶ CALL  | P/L: +2.0BB | VPIP: 23.1%
[  187] UTG | Jd Ah (AJo ) | Eq: 62.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.0%
[  188] CO  | 3s Ad (A3o ) | Eq: 52.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.9%
[  189] BTN | 3h 2c (32o ) | Eq: 28.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.8%
[  190] BTN | 6s 7c (76o ) | Eq: 44.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.6%
[  191] BB  | Qd Jd (QJs ) | Eq: 61.3% | PO:24.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 23.0%
[  192] BTN | 4c 4h (44  ) | Eq: 55.8% | PO:18.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 23.4%
[  193] CO  | 7h Qs (Q7o ) | Eq: 48.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.3%
[  194] BTN | 4s Ah (A4o ) | Eq: 49.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.2%
[  195] UTG | 3h Qc (Q3o ) | Eq: 47.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.1%
[  196] BB  | Kh 9h (K9s ) | Eq: 53.2% | PO:19.6% | ▶ CALL  | P/L: -2.0BB | VPIP: 23.5%
[  197] UTG | 5s Kd (K5o ) | Eq: 47.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.4%
[  198] HJ  | Kh 3d (K3o ) | Eq: 46.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.2%
[  199] BB  | Ts Ac (ATo ) | Eq: 61.5% | PO:23.9% | ▶ RAISE | P/L: -3.0BB | VPIP: 23.6%
[  200] UTG | 7c Kd (K7o ) | Eq: 52.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.5%
[  201] UTG | 4h 5c (54o ) | Eq: 32.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.4%
[  202] BTN | 8c 2c (82s ) | Eq: 37.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.3%
[  203] UTG | 7s Tc (T7o ) | Eq: 48.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.2%
[  204] SB  | Qd 5d (Q5s ) | Eq: 48.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.0%
